store_id,タイトル,slncatch,テキスト,テキスト1,pop_score,価格3,seat4,テキスト2,access,_リンク
slnH000453116,Dilga 加賀の里店  ,人気のオーガニックカラー・水素トリートメント☆髪質改善も大人気♪お客様口コミも高評価◎,4.52,124.0,21.8239780926064,3950.0,,石川県加賀市上河崎町４７－１ ,"
							国道８号線沿い・イオン加賀の里店内",https://beauty.hotpepper.jp/slnH000453116/
slnH000215094,美容室ママハウス,加賀温泉駅裏★地元のみならず、皆から愛される『mamahouse』思いやりと気遣い溢れるアットホームサロン,5.0,10.0,11.989476363991853,3360.0,,石川県加賀市小菅波町平２０ ,"
							加賀温泉駅裏から徒歩1分",https://beauty.hotpepper.jp/slnH000215094/
slnH000443166,Mbs labo ,最高級髪質改善、髪質改善ストレートや素材美にこだわった技術で感動の美髪を体験をしてください,4.88,51.0,19.282069346677368,4180.0,,石川県加賀市小菅波町２丁目９－１ ,"
							ＪＲ加賀温泉駅より徒歩5分",https://beauty.hotpepper.jp/slnH000443166/
slnH000215081,S・T．RUKIA,【加賀温泉近く◆当日OK】ヴィラロドラ取扱◎ 《新規平日17時迄限定!! カット＋炭酸泉シャンプー￥3240☆》,4.44,26.0,14.633515685059223,4100.0,,石川県加賀市小菅波町１‐６８ ,"
							加賀温泉駅から徒歩3分",https://beauty.hotpepper.jp/slnH000215081/
slnH000611458,i'll,マンツーマンサロン。私だけのお洒落ヘアー◎デザインカラーなら「アイル」,5.0,22.0,15.677471079645748,4500.0,,石川県加賀市分校町ヌ２３３番地 ,"
							加賀温泉駅から車で10分/動橋駅より車で5分",https://beauty.hotpepper.jp/slnH000611458/
slnH000443939,髪屋yocchi　【ヨッチ】,【加賀温泉駅より車で10分/当日予約OK】朝8：30から営業★カット￥4400～/お得なクーポンも配信中♪,5.0,9.0,11.51292546497023,4400.0,,石川県加賀市潮津町ウ267番地1 ,"
							加賀温泉駅より車で10分／動橋駅より車で10分",https://beauty.hotpepper.jp/slnH000443939/
slnH000442675,Hair Salon Clair　【クレール】,marbb導入♪　頭皮にも髪にも良いものを,4.0,11.0,9.939626599152001,4950.0,,石川県加賀市山代温泉北部３丁目７－３ ,"
							ＪＲ加賀温泉駅から車で15分",https://beauty.hotpepper.jp/slnH000442675/
slnH000326194,BouT,6/24リニューアルOpen！大変お待たせ致しました。皆様のキレイをBouTに応援させて下さい！,4.8,12.0,12.311756915815376,5170.0,,石川県加賀市大聖寺鍛冶町18 ,"
							JR大聖寺駅から徒歩5分",https://beauty.hotpepper.jp/slnH000326194/
slnH000215087,ｓｎｏｂ．neu【スノッブ・ノイ】,再現性・もちが良いカットが得意なサロン☆,4.5,9.0,10.361632918473207,4400.0,,石川県加賀市山代温泉２０区３９‐２８‐１ ,"
							山代温泉 市ノ瀬神社前から徒歩1分",https://beauty.hotpepper.jp/slnH000215087/
slnH000441995,noa美容室,【JR動橋駅より徒歩10分/初めての方・メンズ大歓迎◎】長く通える美容室をお探しの方必見！,4.5,5.0,8.062917611526247,4070.0,,石川県加賀市動橋町ヘ２９-７ ,"
							JR動橋駅より徒歩10分",https://beauty.hotpepper.jp/slnH000441995/
slnH000443167,Ｃｏｒｏ,年齢層も幅広く、長年通われてるお客様から多く支持され、口コミ数も多く評価も高い人気のサロン！,4.98,143.0,24.749670231888487,3900.0,,石川県加賀市別所町３丁目37 ,"
							ＪＲ加賀温泉駅から車で15分／アッラ・コンタディーナさん後ろにサロンはあります。",https://beauty.hotpepper.jp/slnH000443167/
slnH000442898,hair salon harumi【ヘアーサロンハルミ】,【初めての方大歓迎◎大聖寺駅徒歩10分】女性スタッフ4名のみの癒しのくつろぎの空間♪,5.0,10.0,11.989476363991853,4400.0,,石川県加賀市大聖寺中新道５９-３ ,"
							JR大聖寺駅徒歩10分",https://beauty.hotpepper.jp/slnH000442898/
slnH000443941,ラグジュアリ（楽純亜莉）,【OneOnOne】一人一人じっくり向き合っていきたいから・・・完全予約制で掛け持ちナシ,5.0,11.0,12.424533248940001,4180.0,,石川県加賀市一白町２丁目２５－２ ,"
							ホテルアローレさんの近く（分からない場合はお電話下さい）",https://beauty.hotpepper.jp/slnH000443941/
